Image,x0,y0,x1,y1
cb56a0e39.jpg,2,131,813,333
b95d73a55.jpg,63,170,884,409
10a827e61.jpg,7,103,747,275
f4dccdeae.jpg,6,15,1019,478
aaf9ace83.jpg,9,25,684,342
fff9002e0.jpg,113,144,947,472
0b728c491.jpg,0,0,1035,317
ba0ea6e71.jpg,44,44,1023,326
087be9483.jpg,15,5,689,339
fc3b85e66.jpg,20,24,1010,406
1133322de.jpg,0,4,1022,301
dba646530.jpg,0,122,1008,465
6c851e8fe.jpg,48,207,1001,574
3ce850a34.jpg,12,179,1008,510
7f4bb0db1.jpg,7,71,1011,407
f187a1ca7.jpg,5,47,958,548
9473bce30.jpg,86,163,904,427
749df667c.jpg,11,137,898,352
55aacd677.jpg,0,87,809,265
c04115b32.jpg,15,0,1018,251
bfe4b9d1d.jpg,77,75,964,545
a741dc07c.jpg,19,125,662,268
50c3ce788.jpg,9,148,985,467
5cf109914.jpg,0,74,1032,475
f5e563f8c.jpg,0,1,1030,187
daa96bfb4.jpg,12,87,1017,436
f7a6693b9.jpg,25,25,1012,389
27d1c2c87.jpg,85,63,656,511
9483ba15e.jpg,59,205,1743,478
3e0958624.jpg,0,0,1020,181
b025622dc.jpg,4,152,1038,405
eabd6eac2.jpg,52,54,983,310
3f975aec4.jpg,0,6,1050,314
5c4af5cfb.jpg,5,16,840,196
72d78f3eb.jpg,33,136,985,401
5a978cd76.jpg,66,87,998,277
54563e691.jpg,17,50,993,387
fb1f0549f.jpg,0,113,801,358
efa22c973.jpg,81,6,537,537
e34d7da0a.jpg,0,30,1047,436
fe12b5a4c.jpg,45,174,1016,602
692eec08d.jpg,37,68,991,378
920657e96.jpg,23,146,1007,394
384e301c8.jpg,9,139,1020,433
b060f5529.jpg,6,62,988,414
65f1a9284.jpg,1,10,852,169
03056d2b8.jpg,4,2,1036,183
9a4ef09a4.jpg,269,280,585,413
e3552d7b9.jpg,0,0,1047,247
89e3e088c.jpg,0,20,1025,376
82737e123.jpg,129,39,741,261
24c21121e.jpg,45,136,985,520
3bd6d27f3.jpg,1,134,978,443
b4cfd91f4.jpg,33,45,1006,275
60ae73d57.jpg,0,9,1034,309
b0225eafd.jpg,17,22,1017,487
54e23d692.jpg,2,0,1020,560
5dc6e7dde.jpg,2,112,1042,565
e883bae4f.jpg,26,150,1010,429
d9551b6ad.jpg,2,170,877,464
f4827e52f.jpg,9,68,434,163
cb457f2a5.jpg,0,19,1012,290
b3345a6e4.jpg,140,22,832,312
e5577244d.jpg,8,14,581,177
e1129667d.jpg,31,119,622,303
1a699ad15.jpg,10,283,1001,474
793020462.jpg,71,73,560,248
5a6780081.jpg,4,104,1011,444
6de060aac.jpg,12,254,1016,592
e217cb745.jpg,3,50,1017,294
6792fb976.jpg,0,94,1032,469
6c03bab70.jpg,0,2,1039,291
0899e25a8.jpg,7,0,894,340
94e80ffc7.jpg,66,90,1002,487
100f10498.jpg,31,81,991,482
f382a4455.jpg,79,65,957,431
ddfab19fc.jpg,19,196,997,613
74d7e9950.jpg,53,94,1022,362
1be4a9c0e.jpg,1,174,1023,505
0c30517d8.jpg,0,80,1030,422
2eb82a6b3.jpg,0,223,990,602
4c39c640e.jpg,50,3,997,348
bf1de4ccf.jpg,53,75,993,452
08cb9d189.jpg,138,144,905,494
b3d8cc0bc.jpg,1,70,728,273
7e0fa3746.jpg,15,15,1032,264
c84056f7e.jpg,10,31,617,163
b4fe93f6a.jpg,57,61,828,429
72399e475.jpg,9,0,1024,439
52d690916.jpg,34,101,958,349
08feff2af.jpg,48,55,627,279
792be1e55.jpg,31,3,1004,489
c5d1963ab.jpg,0,8,1038,371
9f58e13d9.jpg,9,75,1034,333
1fa5ead9e.jpg,67,130,951,440
ecfc23b89.jpg,42,158,989,479
e3079e104.jpg,14,9,1035,401
adfed28d2.jpg,43,56,470,275
546edf2ec.jpg,107,139,920,512
1a7c60842.jpg,239,63,953,385
f9ccd9e8d.jpg,0,221,997,553
109e111c7.jpg,95,149,796,407
82fa0f1b9.jpg,47,37,934,589
52d15a86f.jpg,2,4,1047,280
31b640d52.jpg,112,314,820,469
e2dd4ae11.jpg,12,208,977,457
29db77848.jpg,196,207,843,417
529cf7f00.jpg,37,29,1003,455
0918c86d1.jpg,20,111,659,284
80655da02.jpg,22,153,1016,474
a4a74507c.jpg,4,57,780,260
3e85efd82.jpg,4,6,1026,385
1645eb0f2.jpg,21,179,997,411
615057fdd.jpg,244,193,756,305
ed11a191e.jpg,24,45,876,405
3332d1c68.jpg,16,17,1020,233
cecde5eaf.jpg,24,80,1003,432
fc8a9ee49.jpg,21,103,689,283
12d13c14b.jpg,10,94,1030,352
6f4c444bd.jpg,1,0,353,107
9f5f8ca14.jpg,21,191,1035,522
1c3e574ea.jpg,46,29,950,329
54a8cc32c.jpg,12,199,1014,422
c8ee730f4.jpg,35,196,1005,512
dd8b8fab4.jpg,0,141,1024,365
99689f0b2.jpg,164,249,694,521
09ef91f49.jpg,6,115,1047,340
07605520f.jpg,3,14,1037,301
c99d8e0ce.jpg,0,0,1050,300
0b39dab59.jpg,20,14,1022,165
9060ac153.jpg,60,153,950,428
d7e24051c.jpg,11,95,680,299
41aca8fd8.jpg,0,12,1035,225
d96251582.jpg,29,182,987,385
d7320604b.jpg,0,0,1040,361
5678490b9.jpg,0,6,1042,216
c74283ffd.jpg,70,53,1031,600
01070510c.jpg,23,43,878,324
468326f24.jpg,33,16,642,609
43dd2a4fb.jpg,0,271,984,633
34c6a810d.jpg,8,11,403,220
fa2f03f3d.jpg,62,21,1030,286
946819099.jpg,55,161,881,421
5053bb4b3.jpg,113,107,952,361
13dff0a39.jpg,18,135,677,358
fb8f9a182.jpg,37,4,1013,393
f939874e4.jpg,36,145,984,494
ee7653a0e.jpg,0,7,1050,482
a324e94fc.jpg,12,28,1050,265
5c42ae207.jpg,20,133,1007,433
0b91604a1.jpg,32,93,1021,564
2d03705d1.jpg,2,43,879,338
fe896a2be.jpg,0,7,1037,262
d12a6b5f3.jpg,32,202,800,387
a6801ef1b.jpg,108,113,937,455
785a6ceab.jpg,150,8,2261,468
30c1d5731.jpg,161,102,894,322
61363a765.jpg,5,32,1050,378
8cc404b1c.jpg,11,254,1002,555
157e474ef.jpg,61,109,962,445
f9a83eb76.jpg,7,126,1020,449
7e0c80b2d.jpg,4,9,1037,192
839ba6fe4.jpg,18,24,1011,434
4994daa75.jpg,21,91,689,301
057b93fda.jpg,342,93,793,306
af3000c7e.jpg,44,73,977,340
99bb7440f.jpg,18,137,951,427
21649dbee.jpg,17,10,1312,275
c39b6e53b.jpg,17,42,1028,268
b0686a3ce.jpg,7,29,1010,436
e3a224ba6.jpg,34,334,1010,579
adc6eed2a.jpg,105,144,994,394
0304d1ea3.jpg,4,33,1032,491
ecb0a70d1.jpg,0,2,1024,351
545ccd2cb.jpg,124,103,893,477
2de488489.jpg,10,23,1039,228
8fe4e345e.jpg,12,16,1035,305
f4e9f8d1c.jpg,24,171,1009,418
579886448.jpg,18,243,1016,409
17cf2b100.jpg,130,120,908,297
26954e59a.jpg,45,118,1013,379
a738bab0b.jpg,48,212,963,424
773772bba.jpg,2,7,1039,258
32cb6b8ed.jpg,8,70,821,280
57bf92dc1.jpg,64,134,997,303
ec6d6dcff.jpg,16,20,1028,476
f5c194b70.jpg,17,4,1043,256
f8b470868.jpg,7,32,1014,276
473fd6586.jpg,4,19,1031,246
526fdd865.jpg,39,25,974,349
fa305d547.jpg,32,159,999,423
f1149e5b1.jpg,1,26,1016,360
46df301d9.jpg,10,74,1009,452
5d8560846.jpg,17,30,888,351
77628071f.jpg,35,14,968,416
2b5b929ed.jpg,81,215,971,454
3b3f4178c.jpg,7,43,829,385
ee23d4391.jpg,6,36,1027,295
721a359d6.jpg,121,96,954,615
bc6059144.jpg,32,209,1033,346
edb8456d5.jpg,12,0,1043,311
698817b38.jpg,13,25,1033,287
7ec09d17c.jpg,19,153,666,320
1204c90d2.jpg,0,6,1045,290
d019c1645.jpg,81,46,968,398
449c708d3.jpg,0,32,1006,391
a4def7f7d.jpg,66,239,913,438
1c9c3c853.jpg,12,101,941,353
a826abc15.jpg,45,243,987,608
247e00dd7.jpg,0,0,1029,390
f0c3a11b5.jpg,294,165,716,295
d3918f263.jpg,10,31,1012,285
08bd1f4ff.jpg,17,206,950,506
85b1e3339.jpg,67,167,730,395
464f2a505.jpg,2,177,981,530
c0b5503c0.jpg,59,16,999,507
03b0bd5dd.jpg,116,100,895,442
07fc7a25c.jpg,0,0,1034,301
3659134a2.jpg,0,111,836,376
5e1d1ef46.jpg,30,157,1003,405
2e98b95e2.jpg,73,172,977,478
18f55985d.jpg,0,111,672,309
5e2572252.jpg,36,209,980,516
46c635955.jpg,4,50,995,495
716dab0bb.jpg,11,242,1006,507
6545ebf73.jpg,0,10,1046,235
0780a7e4c.jpg,44,183,2192,500
209f4c620.jpg,47,154,825,321
0b0e78549.jpg,220,61,954,420
f6ed4bab6.jpg,0,0,5857,695
2bcc8ebf2.jpg,25,198,984,444
5676e0ce2.jpg,70,131,954,477
9a370a86c.jpg,60,156,2350,529
ba4459d9e.jpg,21,177,948,443
6ca37fe7c.jpg,215,183,819,410
9912e9a64.jpg,94,18,736,400
8084bb8bf.jpg,22,106,981,483
67a5cf86c.jpg,4,100,866,322
a37166b68.jpg,0,99,964,417
8d7610fde.jpg,49,190,999,533
1c25b4986.jpg,0,0,1032,442
f991b3350.jpg,3,49,1039,409
92fda72d2.jpg,30,25,1001,329
fd6734441.jpg,11,192,1018,510
16666fe8c.jpg,91,220,964,469
8342ed87c.jpg,23,0,1007,459
3766926a0.jpg,5,1,1019,226
0f6b12dc0.jpg,11,13,517,298
d17449754.jpg,51,44,980,413
23f084b93.jpg,105,53,892,690
124a0e40a.jpg,8,82,1041,355
de9f21c23.jpg,0,22,618,241
64df5faae.jpg,39,68,1037,444
462d160c9.jpg,4,28,1045,394
4034c8c65.jpg,0,94,1011,488
2589598a8.jpg,301,68,655,796
dce27cbf7.jpg,0,121,1012,514
18e8b2579.jpg,72,15,885,700
9376a9ea7.jpg,82,106,999,354
f20ea5c3a.jpg,14,48,587,184
40a20374b.jpg,14,28,452,156
d6cd256bf.jpg,1,92,1009,414
f48e3a5c0.jpg,53,215,868,402
745b32aec.jpg,92,186,875,495
329ef0717.jpg,0,24,840,248
d51a9f9e4.jpg,0,35,1044,434
904bbb036.jpg,1,11,1038,213
a0259a22d.jpg,66,61,1002,613
20471ac9b.jpg,18,99,1020,452
2a64fb056.jpg,7,89,1015,470
4218095f9.jpg,0,0,1048,305
06f5360e9.jpg,69,78,1011,485
f44e328c4.jpg,18,47,450,135
65461842c.jpg,18,186,1005,378
0cb8536c9.jpg,0,193,841,426
053050f19.jpg,0,72,1042,346
3daffa90c.jpg,16,3,1048,257
fca92c1e3.jpg,53,121,821,364
37e8c5bad.jpg,91,178,888,532
eaba4ac87.jpg,17,56,635,313
fda7d089f.jpg,0,10,1029,349
32f3a89ed.jpg,31,1,962,448
b042a4bf8.jpg,0,219,1013,475
f216c26dd.jpg,0,27,885,453
b649e234a.jpg,77,52,605,176
16cb8fd62.jpg,22,291,982,517
4a5059c8c.jpg,1,31,1030,352
614c737c2.jpg,385,274,737,415
939893e64.jpg,49,92,1618,538
6b687d6ed.jpg,28,118,3008,649
350bcc350.jpg,7,122,1018,458
5c11a3b67.jpg,0,98,1030,362
5561f8dc0.jpg,3,5,918,426
6ddcdb6b0.jpg,16,0,1035,567
e68ce992b.jpg,82,155,947,332
7b97eb368.jpg,26,36,325,143
af6aaa930.jpg,5,20,1035,320
448fbf1f3.jpg,0,40,1027,397
9862da08b.jpg,23,31,1038,312
d92897efe.jpg,58,248,968,494
dd818c844.jpg,0,8,1039,250
873e7a00c.jpg,2,59,445,184
b95f25945.jpg,26,85,1036,426
3823ee66f.jpg,43,88,994,494
